species,length,Width,weight
Ladybird,6,3.5,0.3
Ladybird,6,3.6,0.3
Ladybird,5,3.5,0.4
Ladybird,6,3.9,0.5
Ladybird,5,4,0.4
Ladybird,4,3.5,0.5
Ladybird,5,3.5,0.3
Ladybird,4,3.5,0.5
Ladybird,5,3.5,0.4
Ladybird,5,3.6,0.5
Ladybird,4,3.5,0.5
Honeybee,2.5,1.5,0.1
Honeybee,2.6,1.6,0.1
Honeybee,2.5,1.6,0.2
Honeybee,2.5,1.7,0.2
Honeybee,3,1.7,0.3
Honeybee,2.3,1.5,0.4
Honeybee,2.4,1.5,0.1
Honeybee,2.6,1.4,0.1
Honeybee,2.5,1.5,0.3
Honeybee,2.6,1.5,0.2
Honeybee,2.5,1.5,0.2
Honeybee,2.5,1.5,0.2
Cicada,8,5,0.9
Cicada,7,5,0.9
Cicada,6,4,0.8
Cicada,6,3.5,0.9
Cicada,6,6,0.7
Cicada,5,6,0.7
Cicada,7,5,0.9
Cicada,7,5,0.8
Cicada,7,5,0.9
Cicada,7,4,0.7
Cicada,4,5,0.7
Moth,3,1,0.1
Moth,2,1,0.1
Moth,2.5,1.5,0.3
Moth,3,1,0.3
Moth,2,1,0.2
Moth,2,1,0.1
Moth,1,1,0.3
Moth,1,1,0.2
Moth,2,1,0.2
Moth,1,1,0.2
Moth,2,1,0.2
Dragonfly,5,2.5,0.4
Dragonfly,4,3,0.5
Dragonfly,4,2.5,0.2
Dragonfly,5,3,0.3
Dragonfly,5,2.8,0.3
Dragonfly,7,2.5,0.3
Dragonfly,6,2.2,0.3
Dragonfly,5,2.5,0.4
Dragonfly,5,2.3,0.4
Dragonfly,5,2.3,0.2
Dragonfly,5,2.2,0.3
